Match_ID,Start Date,Country,Country_ID,Opposition,Ground,Toss,Score,Wickets,Overs,RPO,Target,Inns,Margin,Result
ODI # 3442,05-Dec-13,SouthAfrica,3,India,Johannesburg,lost,358,4,50,7.16,,1,141 runs,won
ODI # 3442,05-Dec-13,India,6,South Africa,Johannesburg,won,217,10,41,5.29,359,2,141 runs,lost
ODI # 3443,08-Dec-13,SouthAfrica,3,India,Durban,lost,280,6,49,5.71,,1,134 runs,won
ODI # 3443,08-Dec-13,India,6,South Africa,Durban,won,146,10,35.1,4.15,281,2,134 runs,lost
ODI # 3445,18-Dec-13,SriLanka,8,Pakistan,Sharjah,lost,311,10,49.4,6.26,323,2,11 runs,lost
ODI # 3445,18-Dec-13,Pakistan,7,Sri Lanka,Sharjah,won,322,5,50,6.44,,1,11 runs,won
ODI # 3446,20-Dec-13,SriLanka,8,Pakistan,Dubai (DSC),won,287,8,49.4,5.77,285,2,2 wickets,won
ODI # 3446,20-Dec-13,Pakistan,7,Sri Lanka,Dubai (DSC),lost,284,4,50,5.68,,1,2 wickets,lost
ODI # 3447,22-Dec-13,SriLanka,8,Pakistan,Sharjah,won,213,10,44.4,4.76,327,2,113 runs,lost
ODI # 3447,22-Dec-13,Pakistan,7,Sri Lanka,Sharjah,lost,326,5,50,6.52,,1,113 runs,won
ODI # 3448,25-Dec-13,SriLanka,8,Pakistan,Abu Dhabi,won,225,10,48.5,4.6,,1,8 wickets,lost
ODI # 3448,25-Dec-13,Pakistan,7,Sri Lanka,Abu Dhabi,lost,226,2,41.1,5.48,226,2,8 wickets,won
ODI # 3449,26-Dec-13,WestIndies,4,New Zealand,Auckland,won,157,8,27.3,5.7,157,2,2 wickets,won
ODI # 3449,26-Dec-13,Newzealad,5,West Indies,Auckland,lost,156,10,42.1,3.69,,1,2 wickets,lost
ODI # 3450,27-Dec-13,SriLanka,8,Pakistan,Abu Dhabi,lost,235,8,49.4,4.73,233,2,2 wickets,won
ODI # 3450,27-Dec-13,Pakistan,7,Sri Lanka,Abu Dhabi,won,232,10,49.3,4.68,,1,2 wickets,lost
ODI # 3451,01-Jan-14,WestIndies,4,New Zealand,Queenstown,won,124,5,21,5.9,284,2,159 runs,lost
ODI # 3451,01-Jan-14,Newzealad,5,West Indies,Queenstown,lost,283,4,21,13.47,,1,159 runs,won
ODI # 3452,04-Jan-14,WestIndies,4,New Zealand,Nelson,lost,134,5,33.4,3.98,193,2,58 runs,lost
